Date,Open,High,Low,Close,Volume,Market Cap
Apr-14-2021,2303.88,2447.519364047,2288.212164612,2422.634114283,62784990994.89689,272607949336.01883
Apr-13-2021,2143.32,2315.34,2142.45,2304.28,46341439163.7112,257247515645.27298
Apr-12-2021,2155.808879109,2197.749407797,2113.227673611,2146.72,38091609782.083206,248333003325.06067
Apr-11-2021,2138.080325278,2165.408945827,2121.967615766,2153.53066197,38987180885.34921,247581647199.3602
Apr-10-2021,2072.89,2195.69,2065.807306384,2142.175399356,42423990355.71053,247490848704.01254
Apr-09-2021,2084.36,2103.96,2060.51,2074.94,34631471594.116005,240111592961.12396
Apr-08-2021,1979.183625275,2086.56,1971.121525752,2083.36,49430987096.612335,234821099855.37415
Apr-07-2021,2119.238110725,2127.933894729,1956.410444959,1985.808114041,44849034140.44638,235476551555.46643
Apr-06-2021,2113.793194577,2150.908302926,2062.799478031,2122.406132527,44254943019.28283,244681132244.7169
Apr-05-2021,2080.873381281,2128.97,2017.31453578,2108.653788805,37656941013.01613,239343006878.0357
Apr-04-2021,2019.717755938,2092.33364455,1999.997445273,2082.75,44968079087.34515,236886825275.96045
Apr-03-2021,2136.571387853,2137.194335666,2022.747977564,2022.747977564,47145055916.329414,241303585817.38757
Apr-02-2021,1970.62772767,2141.796555716,1953.439526346,2133.90000968,45813296618.786804,233740680780.18716
Apr-01-2021,1919.030585323,1982.06,1908.861248873,1971.372781832,44889449904.98929,223705833984.09048
Mar-31-2021,1843.244348489,1944.575038361,1793.19,1915.294767036,33375887879.376125,213379958569.9827
Mar-30-2021,1818.243961509,1858.78828312,1791.66967088,1843.018902615,32649726728.286816,210678905491.4565
Mar-29-2021,1687.249031771,1835.34,1680.57,1821.258442566,26220359471.655838,202573786632.08014
Mar-28-2021,1714.00900612,1724.97,1668.39,1689.59,23353438462.73413,196143288741.26523
Mar-27-2021,1700.063370234,1731.570704456,1671.116847812,1717.067681916,26404756086.336147,195746419493.00668
Mar-26-2021,1588.606123252,1700.7706093,1588.606123252,1700.7706093,32814613566.248318,188997678463.8219
Mar-25-2021,1585.767306333,1621.683184733,1554.974117123,1588.852929807,51539371565.986115,183564012099.3005
Mar-24-2021,1672.882506583,1736.28,1565.368784838,1588.349569452,30382285901.983997,193741386170.47275
Mar-23-2021,1685.152478525,1721.22,1657.267539459,1676.195721839,34476629424.40467,195025429853.89023
Mar-22-2021,1786.15932113,1803.84,1663.573274445,1685.692430727,27839283763.512627,203531217756.55847
Mar-21-2021,1806.24,1816.64,1756.69,1785.710083516,33122376468.37996,205800009150.2907
Mar-20-2021,1813.041780986,1868.5,1809.149648813,1811.77,28905329290.242504,211453681064.13345
Mar-19-2021,1777.075394307,1839.95,1740.298108238,1809.971829443,45068684294.67869,207805010835.77658
Mar-18-2021,1825.821768443,1848.066780049,1764.037943114,1777.959900558,50989302242.06761,208374132512.41895
Mar-17-2021,1806.002220975,1836.684374947,1749.349287855,1819.454703152,31674453805.307163,205629870434.60266
Mar-16-2021,1792.339956779,1817.643371932,1719.055046763,1797.156957545,39430216685.71304,205056109873.12704
Mar-15-2021,1854.713705727,1890.218498152,1751.468849607,1789.715533139,40030011278.306656,208248944705.80984
Mar-14-2021,1923.580506017,1931.390586754,1844.114079458,1865.143312594,42846097820.83449,216869171841.3308
Mar-13-2021,1769.016820965,1939.090847445,1734.17454971,1925.332966902,46288353881.74932,211670851306.76
Mar-12-2021,1826.493117611,1841.045175066,1730.017045048,1768.988476727,45495982299.1033,205007602060.17453
Mar-11-2021,1797.769484928,1843.751869073,1734.714275888,1824.804384624,48700475346.36169,206181404429.65027
Mar-10-2021,1869.621122093,1874.680050551,1763.088558491,1801.122722666,47168717435.65584,209727438014.35446
Mar-09-2021,1832.407908294,1865.817801691,1807.435650165,1865.817801691,53363960468.997055,210610682302.56018
Mar-08-2021,1725.498816045,1833.544460285,1673.954918556,1833.236059487,47681903949.83549,199561468724.1621
Mar-07-2021,1651.973829002,1729.839443585,1637.636948002,1729.839443585,46505016366.48272,191491669989.88718
Mar-06-2021,1533.624304657,1667.152345569,1517.647905208,1657.837504531,44369988462.768776,181243517504.88177
Mar-05-2021,1540.987085672,1547.512081923,1453.298540688,1533.479448739,49050114937.41569,171910360871.4108
Mar-04-2021,1575.14705532,1624.15096266,1516.005583644,1540.806484542,46922872406.608185,179527360797.28354
Mar-03-2021,1490.892997162,1651.539154074,1483.069383485,1580.236853521,45575401259.49394,181555018378.78235
Mar-02-2021,1570.315949323,1600.848438639,1460.199273506,1490.240623077,44690190941.053116,177049712326.78772
Mar-01-2021,1419.50945034,1568.604468408,1417.707266087,1568.604468408,50350338859.40641,171830471143.47
Feb-28-2021,1460.696984839,1468.470739201,1304.694594484,1415.204588062,44125895718.1041,158732816100.66217
Feb-27-2021,1443.160927622,1526.506430848,1434.969855554,1465.575895445,47595898108.70398,170748731842.5408
Feb-26-2021,1489.154576551,1560.220132262,1419.681427646,1440.986686716,59540366533.24595,170683524312.77945
Feb-25-2021,1629.681024099,1668.136381347,1489.263837614,1496.222285362,53748315677.10185,185285097502.75858
Feb-24-2021,1576.051781015,1713.75748504,1515.280479718,1624.800425112,82119677003.40965,187974839627.65442
Feb-23-2021,1776.284612883,1777.48830368,1409.685340817,1560.590130514,93043539824.40686,180792765234.78195
Feb-22-2021,1928.239734831,1928.239734831,1591.115787627,1777.266854706,63114500948.373375,207693548133.54825
Feb-21-2021,1913.794017256,1966.347079466,1892.402848168,1928.444381413,61283948088.286606,222415931641.79214
Feb-20-2021,1948.059237493,2024.822617845,1853.611542152,1915.886606046,58705087546.89709,227347183336.1041
